name,county,city,phone,street,email
Ridskolekonsulent Skårelid Marita,,Nyköping,0155-530 19,Torkelstorp,info@agestaridskola.se
Österlens Ryttarförening,,Onslunda,0417-231 50,Bondrum 102,
Osbyortens Ryttareförening,,Osby,0479-145 04,Marklunda,anna.chu@aveqia.com
Perstorps Kör & Ryttarförening,,Perstorp,0435-315 16,Arons Väg,
Rimbo Nya Ridskola AB,,Rimbo,0175-729 95,Malstarakan 10,ridskolanhallstavik@gmail.com
Råneå ridhus,,Råneå,0924-550 07,Kängsön,
Roslagens Rid o Körklubb,,Rö,0175-620 62,lovisedal 1,info@agestaridskola.se
Svalövsortens Ridhusförening,,Svalöv,0413-730 07,Gryttinge 25,
Fiedahls Ridskola,,Svedala,070-339 66 19,Hyltarpsvägen 511,patrik@halsinglandsmediabyra.se
Tranemoryttarna,,Tranemo,0325-764 07,Berg,
Botkyrka Ridsällskap,,Tumba,08-530 391 44,Skrävsta Gård,
Amatörryttarklubben,,Täby,08-756 26 59,Täby Galoppbana,info@sil.se
Hagby Ryttarförening,,Täby,08-510 203 26,Hagby Gård,
Kvistofta Ridklubb,,Vallåkra,042-32 11 54,Bältebergavägen,info@agestaridskola.se
Rävhagens Ridskola,,Visby,0498-27 86 75,Rävhagen,
Stall Fyrklövern,,Visby,0498-27 75 79,Follingbo Skrubbs,info@agestaridskola.se
Eldhästar Småland,,Vissefjärda,0471-220 32,Karamåla,info@agestaridskola.se
Haningebygdens Ryttarföre,,Västerhaninge,08-500 273 42,Blåkulla Gård,info@agestaridskola.se
Stora Ekeby Ridskola AB,,Västerås,0220-438 10,Stora Ekeby,marika@yogama.nu
Dvärsätts Ryttarförening,,Ås,063-380 06,Hållskaven 1,
Åstorpsortens Ryttarförening,,Åstorp,042-598 20,Vramsvägen,
Åtvidabergs Ridklubb,,Åtvidaberg,0120-129 44,Vrånghult,info@agestaridskola.se
Karlsdals Gård Ridklubb,,Örebro,070-227 67 19,Karlsdals Gård,karlsdalsgard@spray.se
Stall Bokeslätt Sölvesborgs Ridskola,Blekinge län,Sölvesborg,070-871 77 99,Mossasträtet 148,bokeslott4@hotmail.com
Bjursås Ridklubb,Dalarnas län,Bjursås,023-503 43,Proselins Väg 19,
Norr Amsbergs Ridklubb,Dalarnas län,Borlänge,0243-883 83,Norr Amsberg 565,ramstrom.massage@gmail.com
Åsebo Ridsällskap,Dalarnas län,Folkärna,0226-565 25,Mästerbo 34,
Vargheden islandshästar Bed & Breakfast,Dalarnas län,Malung,070-241 44 96,Romarheden 173,info@vargheden.se
Svärdsjö Ridklubb,Dalarnas län,Svärdsjö,0246-512 91,boränget 10,
Tunalids Ridklubb,Gävleborgs län,Hudiksvall,0650-137 45,Tunaborgsvägen 26,
Storviks Ridklubb,Gävleborgs län,Kungsgården,0290-376 61,Ovansjövägen 212,
Ljusdals Ridklubb,Gävleborgs län,Ljusdal,0651-149 85,Södra Sjöbovägen 108,
Tönnersa Ridklubb,Hallands län,Eldsberga,035-461 36,Tönnersa 267,info@kedvaxjo.se
Falkenbergsortens Ryttarförening,Hallands län,Falkenberg,0346-120 42,Ridhusvägen 2,
Fjärås Ridskola Handelsbolag,Hallands län,Fjärås,0300-413 60,Rossaredsvägen 534,susanneruus@hotmail.com
Ätrabygdens Ridklubb,Hallands län,Älvsered,070-326 46 81,Toppered 105,atrabygden@gmail.com
Östjämtens Ridskola Ekonomisk Förening,Jämtlands län,Hammarstrand,070-389 19 17,Ammer 350,
G Einarsson Islandshästutbildning,Jämtlands län,Nälden,070-239 17 75,Valne 188,info@geinarsson.se
Åsbygdens Ridskola Ek. För.,Jämtlands län,Ås,070-363 39 39,Åsvägen 79,
Bankeryds Ridskola,Jönköpings län,Bankeryd,036-37 90 36,Målskog säteri 1,
Grankärrs Gränsryttare,Jönköpings län,Gränna,0390-305 20,Grankärr Ridhus 1,info@kedvaxjo.se
Vedbände Gård,Jönköpings län,Korsberga,0383-840 00,Vedbände 3,info@vedbande.nu
Fridhems Ridskola Tranås,Jönköpings län,Tranås,070-357 57 70,Älmås Fridhem 3,
Värnamobygdens Ryttarförening,Jönköpings län,Värnamo,0370-122 25,Sörsjö Gård,info@kedvaxjo.se
Växjöortens Fältrittklubb,Kronobergs län,Växjö,0470-695 84,Bergunda Södregård,info@musikochmassage.se
Bergström Emilia,Norrbottens län,Boden,073-085 13 37,Sveavägen 3,hanna@dejeveterinarpraktik.se
Överkalix Ridklubb,Norrbottens län,Överkalix,0926-550 75,Skolgatan 4,
Råby Ridklubb,Skåne län,Bromölla,0456-227 80,Bastuvägen,
Hittarps Ridklubb,Skåne län,Helsingborg,042-911 54,Hittarpsvägen 1,info@kedvaxjo.se
Frosta Ryttarförening,Skåne län,Hörby,0415-121 01,Ekebodavägen 4,
Åsbo Ponnyklubb,Skåne län,Klippan,0435-100 22,Gråmanstorp 1051,
Fjärens Ridcenter,Skåne län,Knislinge,044-653 42,Hjärsås 3115,info@blekingeplantan.se
Staffanstorps Ridsportfören,Skåne län,Staffanstorp,046-25 74 24,travvägen 9,
Flyinge Ryttareförening,Skåne län,Södra Sandby,046-513 64,Flyinge 1515,
Vinslövs Ryttarförening,Skåne län,Vinslöv,044-807 11,Norre Ljung 1469,info@innebandy24.se
Ödåkra Ridsällskap,Skåne län,Ödåkra,042-20 49 80,Fleningevägen 55,
Djursholms Ridklubb,Stockholms län,Djursholm,08-755 21 62,Östbergavägen 2,
Lidingö Ryttarförening,Stockholms län,Lidingö,08-731 08 95,Stockbyvägen 2,
Saltsjöbadens Ryttarförening,Stockholms län,Saltsjöbaden,08-717 92 47,Skogsövägen 3,mariefarnert@gmail.com
Sollentuna Ridklubb,Stockholms län,Sollentuna,08-754 50 40,Vibyvägen 74,
Hufvudsta Ridskola AB,Stockholms län,Solna,08-83 12 34,Hufvudsta Gård Gamla Stallet,
Swartlings Ridskola Ryttarstadion AB,Stockholms län,Stockholm,070-570 14 24,Storängsvägen 27,swartlingsridskola@hotmail.com
Tungelsta Ridklubb,Stockholms län,Tungelsta,08-500 311 70,Söderbyvägen 18,
Fightright,Stockholms län,Vendelsö,070-728 01 22,Gudö Kilväg 8,imen.khchini@gmail.com
Håcknesta Gård AB,Södermanlands län,Nyköping,070-251 76 60,Håcknesta Frälsegården 1,vet.sofia.stenberg@gmail.com
Aw Rid Lätt,Uppsala län,Almunge,073-922 87 77,Almunge-Söderby Björkhem 3,marika@yogama.nu
Gimo Ridklubb,Uppsala län,Gimo,0174-17 13 43,Uppsalavägen 45,
Maritha Lindstedts Häst & Ridutbildning,Uppsala län,Örsundsbro,0171-41 22 09,Biskopskulla Hormesta 1,marika@yogama.nu
Hammarö Ryttareförening,Värmlands län,Hammarö,054-52 43 03,Ridhusvägen 10,hammarorf@telia.com
Kils Ryttarförening,Värmlands län,Kil,0554-408 29,Lökenemons Ridskola,
Nordmarkens Ridklubb,Värmlands län,Årjäng,0573-71 16 30,Marknadsvägen 8,
Nordmalings Ridklubb,Västerbottens län,Nordmaling,0930-313 52,Torsbäcken 14,anna.chu@aveqia.com
Norsjö Ridhus AB,Västerbottens län,Norsjö,0918-108 59,Storgatan 1,
Vännäs Ryttarförening,Västerbottens län,Vännäs,0935-516 12,Norrmalm 25,
Åsele Ridklubb,Västerbottens län,Åsele,0941-200 13,Sörnoretvägen 4,
Sundsvalls Ridklubb,Västernorrlands län,Sundsvall,060-56 39 89,Kungsnäs 122,
IS Dressage,Västernorrlands län,Sörberge,073-836 68 57,Öringsgränd 5,info@isdressage.se
Ånge Ridklubb,Västernorrlands län,Ånge,0690-615 11,Södra Borgsjövägen 41,
Arboga Ryttarsällskap,Västmanlands län,Arboga,0589-173 37,Brattberget Adolfsberg 129,
Gl Ryttarutbildning AB,Västmanlands län,Fjärdhundra,0224-260 88,Bännebo,ramstrom.massage@gmail.com
Kungsörs Ridklubb,Västmanlands län,Kungsör,076-555 92 72,Lockmora 202,kungsors.ridklubb@live.se
Ridskolans Matsalar,Västmanlands län,Strömsholm,0220-434 54,Herrskogsvägen 22,
Rocklunda Ridskola AB,Västmanlands län,Västerås,021-18 88 83,Vasagatan 83,ramstrom.massage@gmail.com
Askims Fältrittklubb,Västra Götalands län,Askim,031-28 51 65,Carl Gunérs väg 18,
Billdals Ridklubb,Västra Götalands län,Billdal,031-91 09 12,Letsegårdsvägen 20,info@testyourhealth.se
ale Jennylunds Ridklubb,Västra Götalands län,Bohus,031-98 25 00,Jennylundsvägen 1,
Ponnylyckans Ridskola Christel Oscarsson,Västra Götalands län,Bollebygd,031-16 53 99,Forsagårdsvägen 2,info@testyourhealth.se
Nääs Ryttarförening,Västra Götalands län,Floda,0302-348 65,Nääs Allé 16,info@agestaridskola.se
Gråbo Ridklubb,Västra Götalands län,Gråbo,0302-413 29,Monvägen 1,
Stora Torps Ridklubb,Västra Götalands län,Göteborg,031-40 78 13,Storatorpsvägen 4,
Orust Ridklubb,Västra Götalands län,Henån,0304-595 75,Röra-Hogen 320,
Lunna Ridklubb,Västra Götalands län,Kungälv,0303-24 93 25,Rödbo lunnaväg 10,
Föreningen Gäseneryttarna,Västra Götalands län,Ljung,0321-840 33,Hjärttorp Mellomgården 4,invoice@sportkompanietkarlskrona.se
Mariestads Ridklubb,Västra Götalands län,Mariestad,0501-355 35,Fors Brunnsberg 2,
Munkedals Ridklubb,Västra Götalands län,Munkedal,0524-234 00,Håby-Solberg 27,
Gunnebo Ryttarsällskap,Västra Götalands län,Mölndal,031-27 62 00,Rådavägen 54,
Tanums Ridklubb,Västra Götalands län,Tanumshede,0525-292 97,Grebbestadsvägen 2,
Tidaholmsbygdens Hästklubb,Västra Götalands län,Tidaholm,0502-124 58,Kvarnängen Ridhuset,emelie@emjoy.se
Ubrk i Ulricehamn,Västra Götalands län,Ulricehamn,0321-165 95,Ubbarp 801,emelie@emjoy.se
Kongahälla Ridsällskap,Västra Götalands län,Ytterby,0303-920 45,Bronsåldersgatan 22,
Gyttorps Ridklubb,Örebro län,Gyttorp,0587-154 74,Finntorp 8,
Boxholms Ridklubb,Östergötlands län,Boxholm,0142-513 43,Stora Målen 1,
Kinda Ryttarförening,Östergötlands län,Kisa,0494-106 86,Folkinge Ridhuset,
Fredriksborgs Ridsport,Östergötlands län,Linköping,013-15 29 75,Metsjö Skärpan 1,
Linköpings Fältrittklubb,Östergötlands län,Linköping,013-15 53 01,Ridsportallén 5,lfk@linkopingsfaltrittklubb.se
Stall Sätra,Östergötlands län,Skärblacka,0122-202 33,Doverstorp 301,
Stall Solbacken,Östergötlands län,Vikingstad,013-824 26,Viby Solbacken 1,ann-katrin.vestberg@kontek.se
Ydre Ridklubb,Östergötlands län,Ydre,0381-606 58,Bulsjö Ridhuset,
